contract_id,Agreement Date,Effective Date,Expiration Date,Governing Law,Indemnification,Limitation Of Liability,Non-Compete,Parties,Termination For Convenience
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,"November 27, 2017","April 01, 2018","Event-Based (later of 2022/23 NFL season end or February 28, 2023)",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"The ARC Group, Inc. | Jacksonville Jaguars, LLC",NOT FOUND
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,"March 14, 2011",NOT FOUND,5-Year (60 months) Initial Term,"Delaware, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Exceptions: IP Infringement, Indemnification Obligations","Yes | Restricted Party: Network Affiliate | Duration: During the Term | Scope: Non-Competition, Exclusivity","National CineMedia, LLC | Digital Cinema Destinations Corp",NOT FOUND
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,"February 01, 2018","February 01, 2018",3-Year (36 months) Initial Term,"California, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Punitive, Indirect, Lost Profits/Revenue damages | Exceptions: Gross Negligence, Willful Misconduct, Fraud, Confidentiality Breach, Indemnification Obligations",Yes | Restricted Party: WPT | Duration: During the Term | Scope: Exclusivity (no Zynga Competitor licensing),"ZYNGA INC | WPT Enterprises, Inc | Zynga US | ZYNGA GAME IRELAND LIMITED",NOT FOUND
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,"September 26, 2019","September 26, 2019",Until Terminated,United Kingdom,Moral Rights Waiver (not indemnification),NOT FOUND,"Yes | Restricted Party: Employee | Duration: During and post-employment | Scope: Non-Solicitation, No-Hire, Non-Competition",NIGEL CROCKETT | BICYCLETX LIMITED,Yes | Notice: Not specified | Initiating Party: Company
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT,"March 31, 1998","March 31, 1998",12-Month Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental damages",NOT FOUND,"CyberShop | Excite, Inc",NOT FOUND
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"SEATTLE SOFTWARE DEVELOPERS, Inc | PELICAN DELIVERS INC",NOT FOUND
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,"March 03, 2000","March 03, 2000",15-Month Term,"Delaware, United States",IP Non-Challenge Clause; Note: Mutual Indemnification also exists (Sections 9.4 and 9.5) not extracted,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect damages | Exceptions: Fraud, Indemnification Obligations",NOT FOUND,"Impresse Corporation | VerticalNet, Inc",NOT FOUND
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT","January 27, 2020",NOT FOUND,NOT FOUND,"Colorado, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Gridiron BioNutrients, Inc | EWSD 1, LLC, d/b/a/ SHI FARMS",Yes | Notice: Not specified | Either Party
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement,"December 20, 2018","December 20, 2018",5-Year (60 months) Initial Term,Israel,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits/Revenue damages | Cap: the amounts paid or payable by the Reseller to Todos during the twelve-month period preceding the in | Exceptions: Confidentiality Breach, IP Infringement, Indemnification Obligations",Yes | Restricted Party: Todos Medical | Duration: Conditional on Annual Milestone performance | Scope: Exclusivity,Todos Medical Ltd | Care G. B. Plus Ltd,NOT FOUND
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,NOT FOUND,NOT FOUND,10-Year (120 months) Initial Term,China,IP Non-Challenge Clause (not indemnification),NOT FOUND,NOT FOUND,"Beijing Yisheng Leju Information Services Co., Ltd | Beijing SINA Internet Information Service Co., Ltd",NOT FOUND
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,NOT FOUND,NOT FOUND,Until Terminated,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect damages",NOT FOUND,"Cisco Systems, Inc.",Yes | Notice: Not specified | Initiating Party: Customer
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,"November 04, 2010","November 04, 2010",Perpetual,"North Carolina, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Exceptions: Gross Negligence, Willful Misconduct, Confidentiality Breach",NOT FOUND,"Bank of America, N.A | Cardlytics, Inc",Yes | Notice: 30 / 45 days (varies by party) | Initiating Party: Bank of America | Without Cause
"SightLife Surgical, Inc. - STRATEGIC SALES _ MARKETING AGREEMENT","April 28, 2017","April 28, 2017",36-Month Term,"California, United States",NOT FOUND,NOT FOUND,Yes | Restricted Party: Surgical (SightLife) | Duration: During the Term | Scope: Non-Competition,"SightLife Surgical, Inc | Imprimis Pharmaceuticals, Inc",Yes | Notice: Not specified | Either Party | Without Cause
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement,"December 14, 2015","November 01, 2016","October 31, 2017","Michigan, United States",NOT FOUND,NOT FOUND,NOT FOUND,ANR PIPELINE COMPANY | Great Lakes Gas Transmission Limited Partnership,NOT FOUND
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,NOT FOUND,NOT FOUND,12-Month Term,"Colorado, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Indirect damages","Yes | Restricted Party: Reseller | Duration: During term + post-term | Scope: Non-Solicitation, No-Hire",WORLDWIDE STRATEGIES | TOUCHSTAR SOFTWARE CORPORATION,Yes | Notice: 15 days | Initiating Party: TouchStar | Without Cause
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Yes | Restricted Party: Franchisee Member | Duration: During the Term | Scope: Non-Competition,"Pizza Fusion Holding, Inc | [Franchisee Name Not Specified]",NOT FOUND
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement,"April 27, 2006","April 01, 2006","April 01, 2009","New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,UBS AG | Wells Fargo Bank,NOT FOUND
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,"June 12, 2019","September 02, 2019","September 02, 2019","Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect damages",NOT FOUND,"Aucta Pharmaceuticals, Inc | Eton Pharmaceuticals, Inc",Yes | Notice: 180 days
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,"September 30, 2019","September 30, 2019",Until Completion of Program/Milestones,"New York, United States",NOT FOUND,"Yes | Exceptions: Gross Negligence, Willful Misconduct, Fraud",NOT FOUND,"Howmedica Osteonics Corp. (Stryker) | Conformis, Inc.",NOT FOUND
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"April 18, 2018",NOT FOUND,NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"The Bon-Ton Stores, Inc. | Wilmington Savings Fund Society, FSB | Tiger Capital Group, LLC | GA Retail, Inc.",Yes | Notice: Not specified
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,"January 06, 2016",NOT FOUND,Until Terminated,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"AZUL LINHAS AÉREAS BRASILEIRAS S/A | AVIONS DE TRANSPORT REGIONAL, G.I.E",NOT FOUND
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement","January 10, 2018","January 10, 2018",NOT FOUND,"Texas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Bravatek Solutions, Inc | Fazync LLC",Yes | Notice: 90 days | Either Party
"Antares Pharma, Inc. - Manufacturing Agreement","March 20, 2018","March 20, 2018",Co-terminous with Development and License Agreement,"New York, United States",NOT FOUND,Yes | Exceptions: Willful Misconduct,Yes | Restricted Party: Both Parties | Duration: During the Term | Scope: Exclusivity,"Antares Pharma, Inc | AMAG Pharmaceuticals, Inc",NOT FOUND
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"January 21, 2005","January 21, 2005","5-Year (60 months) Initial Term, Auto-Renewal",Canada,NOT FOUND,"Yes | Excludes: Consequential, Punitive, Indirect, Lost Profits/Revenue damages","Yes | Duration: four (24) months | Scope: Non-Solicitation, No-Hire",Technical Casino Supplies Ltd | VendingData Corporation,Yes | Notice: 90 days
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,"October 01, 2019","January 27, 2020",Until Terminated (12 months notice required),United Kingdom,NOT FOUND,NOT FOUND,"Yes | Scope: Non-Solicitation, No-Hire, Non-Competition",WPP 2005 LIMITED | JOHN ROGERS,Yes | Notice: Immediate | Either Party
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,"January 11, 2018",NOT FOUND,"May 03, 2018",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"FreeCook | Mitchell's Web Advance, PLC",NOT FOUND
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Bank of America, N.A | [Counterparty Name Redacted]",NOT FOUND
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,"August 09, 1999",NOT FOUND,1-Year (12 months) Initial Term,"New York, United States",NOT FOUND,NOT FOUND,Yes | Restricted Party: HDI | Duration: 2 years post-expiry | Scope: Non-Competition,"Hanover Direct, Inc",NOT FOUND
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,"December 17, 2019","December 17, 2019",Until Completion of Program/Milestones,"New York, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Exceptions: Confidentiality Breach",Yes | Restricted Party: Vyera | Duration: During the Term | Scope: Non-Competition (no Competitive Products),"Vyera Pharmaceuticals, LLC | CytoDyn Inc",Yes | Notice: 180 days | Initiating Party: Vyera | Without Cause
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement,"January 29, 2020",NOT FOUND,Event-Based Termination,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,Cellco Partnership (Verizon Wireless) | VERIZON OWNER TRUST 2020-A | VERIZON ABS LLC,NOT FOUND
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement,"NOT FOUND (2019, day/month redacted)",NOT FOUND,Perpetual,"New York, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Exceptions: Indemnification Obligations",NOT FOUND,Morgan Stanley Direct Lending Fund | Morgan Stanley Investment Management Inc,Yes | Notice: Immediate | Initiating Party: Licensor | Without Cause
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,"October 24, 2005",NOT FOUND,"5-Year (60 months) Initial Term, Auto-Renewal","Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Exceptions: Personal Injury/Death",NOT FOUND,"Nanophase Technologies Corporation | ALFA AESAR | JOHNSON MATTHEY CATALOG COMPANY, INC",Yes | Notice: 6 months | Either Party | Without Cause
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,"March 01, 2005","March 01, 2005","February 28, 2006",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,AstroNutrition.com,NOT FOUND
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,"February 01, 2019","February 01, 2019","January 31, 2024","California, United States",Trademark Non-Disparagement Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages",NOT FOUND,"Allied Esports International, Inc | Newegg Inc",Yes | Notice: 60 days | Either Party | Without Cause
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT","February 03, 2010","February 03, 2010",3-Year (36 months) Initial Term,"North Carolina, United States",NOT FOUND,"Yes | Excludes: Incidental, Indirect damages",NOT FOUND,"MiddleBrook Pharmaceuticals, Inc. | DoctorDirectory.com, Inc.",NOT FOUND
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT,"March 13, 2014",NOT FOUND,NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,URS Corporation | JANA Partners LLC,NOT FOUND
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT","October 30, 2019","October 30, 2019",Event-Based Termination,Japan,NOT FOUND,NOT FOUND,NOT FOUND,"Nissin Kogyo Co., Ltd. | Nissin Kogyo Holdings | Veoneer AB | Zhongshan Nissin Industry Co., Ltd. | Veoneer US, Inc.",NOT FOUND
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,NOT FOUND,"August 01, 2004","July 31, 2009","Missouri, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Cap: the lesser of $50,000 or (not including other funding amounts such as the Point va",Yes | Restricted Party: Schoolpop | Duration: Each Contract Year | Scope: Exclusivity (conditional on Guaranteed Minimum),"Schoolpop, Inc. | American Express Incentive Services, L.L.C.",NOT FOUND
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement,"March 19, 2020",NOT FOUND,"March 18, 2021","Texas, United States",Termination Challenge Waiver (not indemnification),NOT FOUND,NOT FOUND,"Co-Diagnostics, Inc | PreCheck Health Services, Inc",Yes | Notice: 30 days | Either Party | Without Cause
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT","NOT FOUND (April 2005, day blank)",NOT FOUND,18-Month Term,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Wildform, Inc | On2 Technologies, Inc",NOT FOUND
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2,"December 03, 2018","December 03, 2018",Until Completion of Program/Milestones,"Washington, United States",NOT FOUND,NOT FOUND,NOT FOUND,Pelican Delivers Inc,Yes | Notice: 2 weeks (14 days) | Either Party | Without Cause
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT,NOT FOUND,NOT FOUND,NOT FOUND,"Florida, United States",IP Non-Challenge Clause (not indemnification),NOT FOUND,NOT FOUND,BURGER KING CORPORATION | INTERNATIONAL FAST FOOD CORPORATION | INTERNATIONAL FAST FOOD POLSKA SP ZO.0,NOT FOUND
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,"October 01, 2019","November 01, 2019","December 31, 2020",Israel,NOT FOUND,NOT FOUND,NOT FOUND,"Ability Computer & Software Industries Ltd | TELCOSTAR PTE, LTD",Yes | Notice: 90 days | Either Party | Without Cause
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules,NOT FOUND,"October 06, 2000",2-Year (24 months) Initial Term,NOT FOUND,NOT FOUND,"Yes | Excludes: Consequential, Indirect damages",NOT FOUND,Sicap Ltd | EuroTel,NOT FOUND
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,"October 01, 2008","October 01, 2008",5-Year (60 months) Initial Term,Australia,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect, Lost Profits/Revenue damages | Cap: payment of damages recoverable at law or equity up to a maximum of (and, for the sake of clarity mus",Yes | Scope: Exclusivity,IntriCon Corporation | Dynamic Hearing Pty Ltd,Yes | Notice: 3 months | Initiating Party: Dynamic Hearing
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,"September 30, 2019",NOT FOUND,NOT FOUND,"Delaware, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Punitive, Indirect damages",NOT FOUND,"CERENCE INC. | NUANCE COMMUNICATIONS, INC.",Yes | Notice: Not specified
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,"November 06, 2016","November 06, 2016","7-Year (84 months) Initial Term, Auto-Renewal","California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Cap: [***] per occurrence of an Epidemic Defect | Exceptions: Gross Negligence, Willful Misconduct, Confidentiality Breach, Indemnification Obligations","Yes | Scope: Non-Solicitation, No-Hire, Non-Competition",Energous Corporation | Dialog Semiconductor (UK) Ltd,Yes | Notice: 180 days | Without Cause
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement,"November 25, 2019","December 31, 2022","December 31, 2022 (or earlier: lease termination/election event)","Indiana, United States",NOT FOUND,NOT FOUND,NOT FOUND,MediaCo Holding Inc. | WBLS-WLIB LLC,NOT FOUND
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1),"March 20, 1998","January 01, 1998","February 28, 2000",United Kingdom,NOT FOUND,"Yes | Exceptions: Willful Misconduct, Personal Injury/Death","Yes | Scope: Non-Competition, Exclusivity",HealthGate Data Corp | Blackwell Science Limited | Munksgaard A/S,NOT FOUND
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,NOT FOUND,NOT FOUND,Perpetual,Canada,NOT FOUND,"Yes | Excludes: Consequential, Indirect, Lost Profits/Revenue damages | Cap: lost profits, lost revenues, failure to realize expected savings, loss of data and loss of use",NOT FOUND,"GARMAN ROUTING SYSTEMS, INC | SPARKLING SPRING WATER GROUP LIMITED",Yes | Notice: 90 days | Initiating Party: Sparkling
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,"October 29, 1999","October 29, 1999",5-Year (60 months) Initial Term,"California, United States",Covenant Not to Sue (not indemnification),"Yes | Excludes: Consequential, Indirect, Lost Profits/Revenue damages",NOT FOUND,"Commerce One, Inc | Corio Inc",NOT FOUND
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,"April 08, 2020",NOT FOUND,Event-Based Termination,"New York, United States",Bankruptcy Non-Petition Covenant (not indemnification),NOT FOUND,NOT FOUND,"CURO MANAGEMENT, LLC | CURO RECEIVABLES FINANCE II, LLC",NOT FOUND
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT","March 20, 2020","March 01, 2020","February 28, 2025","Florida, United States",NOT FOUND,NOT FOUND,NOT FOUND,"JVLS, LLC | BorrowMoney.com, Inc.",NOT FOUND
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement","September 25, 2018","September 25, 2018",Co-terminous with Related Agreement,United Kingdom,NOT FOUND,NOT FOUND,NOT FOUND,"Oaktree Capital Management, L.P. | Oaktree Capital Management (International) Limited",Yes | Notice: 30 days | Without Cause
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT","July 01, 2020",NOT FOUND,Co-terminous with Related Agreement,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Mario Cibelli | Marathon Partners Equity Management, LLC | e.l.f. Beauty, Inc. | Marathon Focus Fund L.P.",NOT FOUND
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT","July 31, 2000","July 31, 2000",3-Year (36 months) Initial Term,"California, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits/Revenue damages | Exceptions: IP Infringement, Indemnification Obligations",NOT FOUND,"HIGH SPEED NET SOLUTIONS, INC. | E.PIPHANY, INC.",NOT FOUND
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT,"May 01, 2012","May 01, 2012",1-Year (12 months) Initial Term,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Advantus Capital Management, Inc | Securian Funds Trust | Trust's Advantus Money Market Fund | Securian Financial Services, Inc",NOT FOUND
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT,"March 01, 2016","March 01, 2016",NOT FOUND,"Pennsylvania, United States",NOT FOUND,NOT FOUND,NOT FOUND,FEDERATED ADVISORY SERVICES COMPANY | FEDERATED INVESTMENT MANAGEMENT COMPANY,NOT FOUND
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"April 01, 2019","April 01, 2019","March 30, 2020",India,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect damages | Cap: THE AGGREGATE AMOUNT OF FEES AND EXPENSES OWED BY PC FINANCIAL TO MOBIMAGIC FOR SERVICES PERFORMED U | Exceptions: Confidentiality Breach",NOT FOUND,"Mobimagic Co., Ltd | PC Financial Services Private Limited",NOT FOUND
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement,"October 02, 2017",NOT FOUND,6-Year (72 months) Initial Term,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,Rare Element Resources Ltd,NOT FOUND
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,"February 04, 2005","February 04, 2005",Until Terminated,"Massachusetts, United States",NOT FOUND,NOT FOUND,NOT FOUND,Domini Advisor Trust | Domini Social Investments LLC,Yes | Notice: 60 days
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,"May 06, 2019","May 06, 2019",5-Year (60 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Lost Profits/Revenue damages",NOT FOUND,MediWound Ltd | Vericel Corporation,Yes | Notice: Redacted | Without Cause
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,"November 03, 2005",NOT FOUND,Until Completion of Program/Milestones,NOT FOUND,IP Non-Challenge Clause (not indemnification),NOT FOUND,NOT FOUND,THE HENRY FILM AND ENTERTAINMENT CORPORATION | PACIFICAP ENTERTAINMENT,NOT FOUND
