contract_id,Agreement Date,Effective Date,Expiration Date,Governing Law,Indemnification,Limitation Of Liability,Non-Compete,Parties,Termination For Convenience
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement,NOT FOUND,NOT FOUND,NOT FOUND,"Iowa, United States",NOT FOUND,NOT FOUND,NOT FOUND,ABC Company | Princor Financial Services Corporation | Principal Life Insurance Company,Yes | Notice: Immediate | Either Party
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,"November 27, 2017","April 01, 2018","April 01, 2018",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"The ARC Group, Inc. | Jacksonville Jaguars, LLC",NOT FOUND
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,NOT FOUND,NOT FOUND,5-Year Initial Term,"Delaware, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits damages | Exceptions: IP Infringement, Indemnification obligations","Yes | Restricted Party: During the Term, except as otherwise provided in this Agreem | Duration: During the Term and for a period of twelve (12) months | Scope: Non-Solicitation, No-Hire, Exclusivity, Non-Competition","National CineMedia, LLC | Digital Cinema Destinations Corp",NOT FOUND
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,"February 01, 2018","February 01, 2018",3-Year Initial Term,"California, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Punitive, Indirect, Lost Profits damages | Exceptions: Gross Negligence, Willful Misconduct, Fraud, Confidentiality Breach, Indemnification obligations",NOT FOUND,"ZYNGA INC | WPT Enterprises, Inc | Zynga US | ZYNGA GAME IRELAND LIMITED",NOT FOUND
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,"September 26, 2019","September 26, 2019",See Contract Terms,United Kingdom,NOT FOUND,NOT FOUND,"Yes | Duration: firm or company directly or indirectly in competition with t | Scope: Non-Solicitation, No-Hire, Non-Competition",NIGEL CROCKETT | BICYCLETX LIMITED,Yes | Notice: Not specified | Initiating Party: Company
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT,NOT FOUND,NOT FOUND,12-Month Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental damages | Cap: , AND WILL NOT EXCEED, THE             AMOUNTS TO BE PAID BY CLIENT TO EXCITE HE",NOT FOUND,"CyberShop | Excite, Inc",NOT FOUND
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"SEATTLE SOFTWARE DEVELOPERS, Inc | PELICAN DELIVERS INC",NOT FOUND
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,"March 03, 2000","March 03, 2000",See Contract Terms,"Delaware, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect damages | Exceptions: Fraud, Indemnification obligations",NOT FOUND,"Impresse Corporation | VerticalNet, Inc",NOT FOUND
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT","January 27, 2020",NOT FOUND,NOT FOUND,"Colorado, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Gridiron BioNutrients, Inc | EWSD 1, LLC, d/b/a/ SHI FARMS",Yes | Notice: Immediate | Either Party
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement,NOT FOUND,NOT FOUND,5-Year Initial Term,Israel,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits damages | Exceptions: Confidentiality Breach, IP Infringement, Indemnification obligations",Yes | Duration: of any year | Scope: Exclusivity,Todos Medical Ltd | Care G. B. Plus Ltd,NOT FOUND
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,NOT FOUND,NOT FOUND,10-Year Initial Term,China,IP Non-Challenge Clause (not indemnification),NOT FOUND,NOT FOUND,"Beijing Yisheng Leju Information Services Co., Ltd | Beijing SINA Internet Information Service Co., Ltd",NOT FOUND
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,NOT FOUND,NOT FOUND,Until Terminated,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect damages",NOT FOUND,"Cisco Systems, Inc.",Yes | Notice: Immediate | Initiating Party: Customer
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,"November 04, 2010","November 04, 2010",Perpetual,"North Carolina, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits damages | Exceptions: Gross Negligence, Willful Misconduct, Confidentiality Breach",NOT FOUND,"Bank of America, N.A | Cardlytics, Inc",Yes | Notice: Immediate | Initiating Party: Bank of America | Without Cause
"SightLife Surgical, Inc. - STRATEGIC SALES _ MARKETING AGREEMENT","April 28, 2017","April 28, 2017",36-Month Term,"California, United States",NOT FOUND,NOT FOUND,NOT FOUND,"SightLife Surgical, Inc | Imprimis Pharmaceuticals, Inc",Yes | Notice: Immediate | Either Party | Without Cause
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement,"December 14, 2015","November 01, 2016","October 31, 2017","Michigan, United States",NOT FOUND,NOT FOUND,NOT FOUND,ANR PIPELINE COMPANY | Great Lakes Gas Transmission Limited Partnership,NOT FOUND
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,NOT FOUND,NOT FOUND,12-Month Term,"Colorado, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Indirect damages","Yes | Duration: employment to any former employee of TouchStar for a period  | Scope: Non-Solicitation, No-Hire, Non-Competition",WORLDWIDE STRATEGIES | TOUCHSTAR SOFTWARE CORPORATION,Yes | Notice: Not specified | Initiating Party: OVIDED           that TouchStar
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement,"April 27, 2006","April 01, 2006","April 01, 2009","New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,UBS AG | Wells Fargo Bank,NOT FOUND
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,"June 12, 2019","September 02, 2019","September 02, 2019","Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect damages",NOT FOUND,"Aucta Pharmaceuticals, Inc | Eton Pharmaceuticals, Inc",Yes | Notice: Not specified
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,"September 30, 2019","September 30, 2019",Until Completion of Program/Milestones,"New York, United States",NOT FOUND,"Yes | Exceptions: Gross Negligence, Willful Misconduct, Fraud",NOT FOUND,"Howmedica Osteonics Corp. (Stryker) | Conformis, Inc.",NOT FOUND
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"April 18, 2018",NOT FOUND,NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"The Bon-Ton Stores, Inc. | Wilmington Savings Fund Society, FSB | Tiger Capital Group, LLC | GA Retail, Inc.",Yes | Notice: Immediate
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,"January 06, 2016",NOT FOUND,See Contract Terms,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"AZUL LINHAS AÉREAS BRASILEIRAS S/A | AVIONS DE TRANSPORT REGIONAL, G.I.E",NOT FOUND
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement",NOT FOUND,NOT FOUND,NOT FOUND,"Texas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Bravatek Solutions, Inc | Fazync LLC",Yes | Notice: Not specified | Either Party
"Antares Pharma, Inc. - Manufacturing Agreement",NOT FOUND,NOT FOUND,Co-terminous with Related Agreement,"New York, United States",NOT FOUND,Yes | Exceptions: Willful Misconduct,NOT FOUND,"Antares Pharma, Inc | AMAG Pharmaceuticals, Inc",NOT FOUND
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"January 21, 2005","January 21, 2005","5-Year Initial Term, Auto-Renewal",Canada,NOT FOUND,"Yes | Excludes: Consequential, Punitive, Indirect, Lost Profits damages","Yes | Duration: four (24) months | Scope: Non-Solicitation, No-Hire",Technical Casino Supplies Ltd | VendingData Corporation,Yes | Notice: Not specified
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,"October 01, 2019","January 27, 2020",See Contract Terms,United Kingdom,NOT FOUND,NOT FOUND,"Yes | Scope: Non-Solicitation, No-Hire, Non-Competition",WPP 2005 LIMITED | JOHN ROGERS,Yes | Notice: Immediate | Either Party
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,"January 11, 2018",NOT FOUND,"May 03, 2018",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"FreeCook | Mitchell's Web Advance, PLC",NOT FOUND
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Bank of America, N.A | <<enter Company Name>>",NOT FOUND
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,"August 09, 1999",NOT FOUND,1-Year Initial Term,"New York, United States",NOT FOUND,Yes,NOT FOUND,"Hanover Direct, Inc",NOT FOUND
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,"December 17, 2019","December 17, 2019",See Contract Terms,"New York, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits damages | Exceptions: Confidentiality Breach",NOT FOUND,"Vyera Pharmaceuticals, LLC | CytoDyn Inc",Yes | Notice: Immediate | Initiating Party: Vyera | Without Cause
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement,"January 29, 2020",NOT FOUND,See Contract Terms,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,Cellco Partnership (Verizon Wireless) | VERIZON OWNER TRUST 2020-A | VERIZON ABS LLC,NOT FOUND
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement,NOT FOUND,NOT FOUND,See Contract Terms,"New York, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits damages | Exceptions: Indemnification obligations",NOT FOUND,Morgan Stanley Direct Lending Fund | Morgan Stanley Investment Management Inc,Yes | Notice: Immediate | Initiating Party: Licensor | Without Cause
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,"October 24, 2005",NOT FOUND,"5-Year Initial Term, Auto-Renewal","Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits damages",NOT FOUND,"Nanophase Technologies Corporation | ALFA AESAR | JOHNSON MATTHEY CATALOG COMPANY, INC",Yes | Notice: Not specified | Either Party | Without Cause
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,"March 01, 2005","March 01, 2005","February 28, 2006",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,AstroNutrition.com,NOT FOUND
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,"February 01, 2019","February 01, 2019","January 31, 2024","California, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits damages",NOT FOUND,"Allied Esports International, Inc | Newegg Inc",Yes | Notice: Not specified | Either Party | Without Cause
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT","February 03, 2010","February 03, 2010",3-Year Initial Term,"North Carolina, United States",NOT FOUND,"Yes | Excludes: Incidental, Indirect damages",NOT FOUND,"MiddleBrook Pharmaceuticals, Inc. | DoctorDirectory.com, Inc.",NOT FOUND
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT,"March 13, 2014",NOT FOUND,NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,URS Corporation | JANA Partners LLC,NOT FOUND
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT","October 30, 2019","October 30, 2019",See Contract Terms,Japan,NOT FOUND,NOT FOUND,NOT FOUND,"Nissin Kogyo Co., Ltd. | Nissin Kogyo Holdings | Veoneer AB | Zhongshan Nissin Industry Co., Ltd. | Veoneer US, Inc.",NOT FOUND
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,NOT FOUND,"August 01, 2004","July 31, 2009","Missouri, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits damages",Yes | Duration: In any Contract Year | Scope: Exclusivity,"Schoolpop, Inc. | American Express Incentive Services, L.L.C.",NOT FOUND
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement,NOT FOUND,NOT FOUND,"March 18, 2021","Texas, United States",IP Non-Challenge Clause (not indemnification),NOT FOUND,NOT FOUND,"Co-Diagnostics, Inc | PreCheck Health Services, Inc",Yes | Notice: Not specified | Either Party | Without Cause
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",NOT FOUND,NOT FOUND,18-Month Term,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Wildform, Inc | On2 Technologies, Inc",NOT FOUND
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2,NOT FOUND,"December 03, 2018",See Contract Terms,"Washington, United States",NOT FOUND,NOT FOUND,NOT FOUND,Pelican Delivers Inc,Yes | Notice: two weeks | Either Party | Without Cause
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT,NOT FOUND,NOT FOUND,NOT FOUND,"Florida, United States",NOT FOUND,NOT FOUND,NOT FOUND,BURGER KING CORPORATION | INTERNATIONAL FAST FOOD CORPORATION | INTERNATIONAL FAST FOOD POLSKA SP ZO.0,NOT FOUND
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,"October 01, 2019","November 01, 2019","December 31, 2020",Israel,NOT FOUND,NOT FOUND,NOT FOUND,"Ability Computer & Software Industries Ltd | TELCOSTAR PTE, LTD",Yes | Notice: 90 days | Without Cause
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules,NOT FOUND,NOT FOUND,2-Year Initial Term,NOT FOUND,NOT FOUND,"Yes | Excludes: Consequential, Indirect damages",NOT FOUND,Sicap Ltd | EuroTel,NOT FOUND
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,NOT FOUND,NOT FOUND,2-Month Term,Australia,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect, Lost Profits damages | Cap: ) $5m",Yes | Scope: Exclusivity,IntriCon Corporation | Dynamic Hearing Pty Ltd,Yes | Notice: Not specified | Initiating Party: Dynamic Hearing
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,"September 30, 2019",NOT FOUND,NOT FOUND,"Delaware, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Punitive, Indirect damages",NOT FOUND,"CERENCE INC. | NUANCE COMMUNICATIONS, INC.",Yes | Notice: Immediate
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,"November 06, 2016","November 06, 2016",180-Day Term,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect damages | Cap: , LOSS OF BUSINESS, REVENUES, PROFITS OR GOODWILL, OR (ii) AGGREGATE DAMAGES IN  | Exceptions: Gross Negligence, Willful Misconduct, Confidentiality Breach, Indemnification obligations","Yes | Scope: Non-Solicitation, No-Hire, Non-Competition",Energous Corporation | Dialog Semiconductor (UK) Ltd,Yes | Notice: Immediate | Without Cause
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement,"November 25, 2019","December 31, 2022","December 31, 2022","Indiana, United States",NOT FOUND,NOT FOUND,NOT FOUND,MediaCo Holding Inc. | WBLS-WLIB LLC,NOT FOUND
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1),NOT FOUND,NOT FOUND,Until Terminated,United Kingdom,NOT FOUND,Yes | Exceptions: Willful Misconduct,"Yes | Scope: Non-Competition, Exclusivity",HealthGate Data Corp | Blackwell Science Limited | Munksgaard A/S,NOT FOUND
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,NOT FOUND,NOT FOUND,Perpetual,Canada,NOT FOUND,"Yes | Excludes: Consequential, Indirect, Lost Profits damages | Cap: lost profits, lost revenues, failure to realize expected savings, loss of data a",NOT FOUND,"GARMAN ROUTING SYSTEMS, INC | SPARKLING SPRING WATER GROUP LIMITED",Yes | Notice: Immediate | Initiating Party: Sparkling
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,"October 29, 1999","October 29, 1999",5-Year Initial Term,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Indirect, Lost Profits damages",NOT FOUND,"Commerce One, Inc | Corio Inc",NOT FOUND
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,"April 08, 2020",NOT FOUND,See Contract Terms,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"CURO MANAGEMENT, LLC | CURO RECEIVABLES FINANCE II, LLC",NOT FOUND
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",NOT FOUND,"March 01, 2020","February 28, 2025","Florida, United States",NOT FOUND,NOT FOUND,NOT FOUND,"JVLS, LLC | BorrowMoney.com, Inc.",NOT FOUND
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement","September 25, 2018","September 25, 2018",See Contract Terms,United Kingdom,NOT FOUND,NOT FOUND,NOT FOUND,"Oaktree Capital Management, L.P. | Oaktree Capital Management (International) Limited",Yes | Notice: 30 days | Without Cause
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT","July 01, 2020",NOT FOUND,Co-terminous with Related Agreement,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Mario Cibelli | Marathon Partners Equity Management, LLC | e.l.f. Beauty, Inc. | Marathon Focus Fund L.P.",NOT FOUND
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT",NOT FOUND,NOT FOUND,3-Year Initial Term,"California, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits damages | Exceptions: IP Infringement, Indemnification obligations",NOT FOUND,"HIGH SPEED NET SOLUTIONS, INC. | E.PIPHANY, INC.",NOT FOUND
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT,"May 01, 2012","May 01, 2012",1-Year Initial Term,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Advantus Capital Management, Inc | Securian Funds Trust | Trust's Advantus Money Market Fund | Securian Financial Services, Inc",NOT FOUND
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT,"March 01, 2016","March 01, 2016",NOT FOUND,"Pennsylvania, United States",NOT FOUND,NOT FOUND,NOT FOUND,FEDERATED ADVISORY SERVICES COMPANY | FEDERATED INVESTMENT MANAGEMENT COMPANY,NOT FOUND
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"April 01, 2019","April 01, 2019","March 30, 2020",India,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect damages | Exceptions: Confidentiality Breach",NOT FOUND,"Mobimagic Co., Ltd | PC Financial Services Private Limited",NOT FOUND
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement,"October 02, 2017",NOT FOUND,6-Year Initial Term,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,Rare Element Resources Ltd,NOT FOUND
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,"February 04, 2005","February 04, 2005",Until Terminated,"Massachusetts, United States",NOT FOUND,Yes,NOT FOUND,Domini Advisor Trust | Domini Social Investments LLC,Yes | Notice: 60 days
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,"May 06, 2019","May 06, 2019",See Contract Terms,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Lost Profits damages",NOT FOUND,MediWound Ltd | Vericel Corporation,Yes | Notice: Not specified | Without Cause
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,NOT FOUND,NOT FOUND,See Contract Terms,NOT FOUND,IP Non-Challenge Clause (not indemnification),NOT FOUND,NOT FOUND,THE HENRY FILM AND ENTERTAINMENT CORPORATION | PACIFICAP ENTERTAINMENT,NOT FOUND
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,NOT FOUND,NOT FOUND,See Contract Terms,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits damages",NOT FOUND,"Vayyar Imaging Ltd | Inde Living Holdings, Inc",Yes | Notice: Not specified | Either Party | Without Cause
"MetLife, Inc. - Remarketing Agreement","August 26, 2014",NOT FOUND,See Contract Terms,"New York, United States",NOT FOUND,Yes,NOT FOUND,"Deutsche Bank Trust Company America | Deutsche Bank Securities Inc. | MetLife, Inc.",NOT FOUND
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"April 14, 2014","April 14, 2014",Perpetual,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Zebra Technologies Corporation | Motorola Solutions, Inc.",NOT FOUND
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT,"September 09, 1997",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Galacticomm | Horst Entertainment Inc,NOT FOUND
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,"April 14, 2020","April 14, 2020",Until Completion of Program/Milestones,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"OntoChem GmbH | Anixa Biosciences, Inc",Yes | Notice: Not specified | Without Cause
