contract_id,Agreement Date,Effective Date,Expiration Date,Governing Law,Indemnification,Limitation Of Liability,Non-Compete,Parties,Termination For Convenience
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT","October 31, 2019","October 31, 2019","5-Year (60 months) Initial Term, Auto-Renewal","Delaware, United States",Yes | Explicit indemnification / defense / hold harmless obligations,Yes | Exceptions: Confidentiality Breach,NOT FOUND,"Fonterra (USA) Inc | Premier Nutrition Company, LLC",NOT FOUND
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,"September 26, 2019","September 26, 2019",Until Terminated,United Kingdom,Moral Rights Waiver (not indemnification),NOT FOUND,"Yes | Scope: Non-Solicitation, No-Hire",BICYCLETX LIMITED | NIGEL CROCKETT,Yes | Initiating Party: Company
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,"November 02, 2012","November 02, 2012",3-Year (36 months) Initial Term,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive | Exceptions: Confidentiality Breach, Indemnification",NOT FOUND,"BIOCEPT, INC | LIFE TECHNOLOGIES CORPORATION",Yes | Notice: 120 days | Either Party | Without Cause
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,"February 26, 1999","February 26, 1999",1-Year (12 months) Initial Term,"California, United States",Yes | Explicit indemnification / defense / hold harmless obligations,NOT FOUND,NOT FOUND,"Mortgage Logic.com, Inc | TrueLink, Inc",NOT FOUND
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"April 18, 2018",NOT FOUND,NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"GA Retail, Inc | The Bon-Ton Stores, Inc | Tiger Capital Group, LLC | Wilmington Savings Fund Society, FSB",Yes
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT","March 20, 2020","March 01, 2020","February 28, 2025","Florida, United States",NOT FOUND,NOT FOUND,NOT FOUND,"BorrowMoney.com, Inc | JVLS, LLC",NOT FOUND
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,"October 29, 1999","October 29, 1999",5-Year (60 months) Initial Term,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Indirect, Lost Profits",NOT FOUND,"Commerce One, Inc | Corio Inc",NOT FOUND
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,"April 08, 2020",NOT FOUND,Event-Based Termination,"New York, United States",Bankruptcy Non-Petition Covenant (not indemnification),NOT FOUND,NOT FOUND,"CURO MANAGEMENT, LLC | CURO RECEIVABLES FINANCE II, LLC",NOT FOUND
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,"November 04, 2010","November 04, 2010",Perpetual,"North Carolina, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: Willful Misconduct, Gross Negligence, Confidentiality Breach",NOT FOUND,"Bank of America, N.A | Cardlytics, Inc",Yes | Notice: 45 days | Without Cause
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Bank of America, N.A | Counterparty Name Redacted",NOT FOUND
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,"September 30, 2019",NOT FOUND,NOT FOUND,"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Punitive, Indirect | Remedy: Direct Damages Only",NOT FOUND,"CERENCE INC | NUANCE COMMUNICATIONS, INC",NOT FOUND
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,NOT FOUND,NOT FOUND,10-Year (120 months) Initial Term,China,NOT FOUND,NOT FOUND,NOT FOUND,"Beijing SINA Internet Information Service Co., Ltd | Beijing Yisheng Leju Information Services Co., Ltd",NOT FOUND
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,"September 30, 2019","September 30, 2019",Until Completion of Program/Milestones,"New York, United States",NOT FOUND,Yes | Cap: THE GREATER OF (I) $[**] AND (II) THE AMOUNT OF INSURANCE COVERAGE ACTUALLY PAID TO CONFORMIS UNDER THEN-CURRENT INSURANCE POLICIES OF CONFO | Exceptions: Willful Misconduct,NOT FOUND,"Conformis, Inc | Howmedica Osteonics Corp. (Stryker",NOT FOUND
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,"April 06, 2007",NOT FOUND,Until Terminated,"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits",NOT FOUND,"Chase Bank USA, N.A",Yes | Without Cause
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,"December 17, 2019","December 17, 2019",Until Completion of Program/Milestones,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: Confidentiality Breach",Yes | Duration: during the term | Scope: Non-Competition,"CytoDyn Inc | Vyera Pharmaceuticals, LLC",Yes | Notice: 180 days | Without Cause
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,"February 04, 2005","February 04, 2005",Until Terminated,"Massachusetts, United States",NOT FOUND,NOT FOUND,NOT FOUND,Domini Advisor Trust | Domini Social Investments LLC,Yes | Notice: 60 days
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,"January 19, 1998","January 19, 1998",Perpetual,Netherlands,NOT FOUND,"Yes | Excludes: Consequential, Indirect | Exceptions: Gross Negligence | Remedy: Direct Damages Only",NOT FOUND,"DRAGON SYSTEMS, INC | MODUS MEDIA INTERNATIONAL",Yes | Notice: 60 days | Without Cause
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,"March 24, 2006","April 01, 2006",2-Year (24 months) Initial Term,United States,NOT FOUND,NOT FOUND,NOT FOUND,"Data Call Technologies, Inc | PLAN_B MEDIA AG",NOT FOUND
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,"March 14, 2011",NOT FOUND,5-Year (60 months) Initial Term,"Delaware, United States",Yes | Explicit indemnification / defense / hold harmless obligations,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: IP Infringement, Indemnification",Yes | Restricted Party: Network Affiliate | Duration: during the term | Scope: Exclusivity,"Digital Cinema Destinations Corp | National CineMedia, LLC",NOT FOUND
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,"June 16, 2004","June 16, 2004",5-Year (60 months) Initial Term,Papua New Guinea,NOT FOUND,NOT FOUND,NOT FOUND,BANK OF SOUTH PACIFIC LIMITED | Bank of South Pacific Ltd | DATEC (PNG) LIMITED,Yes | Notice: 6 months | Without Cause
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,"February ____, 2017","February ____, 2017","4-Year (48 months) Initial Term, Auto-Renewal",Hong Kong,Yes | Explicit indemnification / defense / hold harmless obligations,NOT FOUND,NOT FOUND,"CHONGQING ZONGSHEN AUTOMOBILE INDUSTRY CO., LTD | ELECTRAMECCANICA VEHICLES CORP",NOT FOUND
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT","July 01, 2020",NOT FOUND,Co-terminous with Related Agreement,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"e.l.f. Beauty, Inc | Marathon Focus Fund L.P | Marathon Partners Equity Management, LLC | Mario Cibelli",NOT FOUND
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,"November 06, 2016","November 06, 2016","7-Year (84 months) Initial Term, Auto-Renewal","California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: Willful Misconduct, Gross Negligence, Confidentiality Breach, Indemnification","Yes | Scope: Non-Solicitation, No-Hire",Dialog Semiconductor (UK) Ltd | Energous Corporation,Yes | Notice: 180 days | Without Cause
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,"March 11, 2015","March 11, 2015",Until Terminated,"Texas, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Special | Exceptions: Indemnification",NOT FOUND,"ENERGY XXI GULF COAST, INC | ENERGY XXI USA, INC",NOT FOUND
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"January 21, 2005","January 21, 2005","5-Year (60 months) Initial Term, Auto-Renewal",Canada,NOT FOUND,"Yes | Excludes: Consequential, Punitive, Indirect, Lost Profits","Yes | Scope: Non-Solicitation, No-Hire",Technical Casino Supplies Ltd | VendingData Corporation,Yes | Notice: 90 calendar days
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement,"November 14, 2017","November 14, 2017","1-Year (12 months) Initial Term, Auto-Renewal","Michigan, United States",NOT FOUND,NOT FOUND,Yes | Duration: During The Term | Scope: Non-Competition (no endorsement of competing products),"Eco Science Solutions, Inc | Stephen Marley",NOT FOUND
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement,"November 25, 2019","December 31, 2022","December 31, 2022",India,NOT FOUND,NOT FOUND,NOT FOUND,MediaCo Holding Inc | WBLS-WLIB LLC,NOT FOUND
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,"June 12, 2019","September 02, 2019","September 02, 2019","Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect | Remedy: Direct Damages Only",NOT FOUND,"Aucta Pharmaceuticals, Inc | Eton Pharmaceuticals, Inc",Yes | Notice: 180 days
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT,"January 01, 2004","January 01, 2004",Co-terminous with Related Agreement,"Pennsylvania, United States",NOT FOUND,NOT FOUND,NOT FOUND,FEDERATED ADVISORY SERVICES COMPANY | FEDERATED INVESTMENT MANAGEMENT COMPANY,NOT FOUND
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT,"March 01, 2016","March 01, 2016",NOT FOUND,"Pennsylvania, United States",NOT FOUND,NOT FOUND,NOT FOUND,FEDERATED ADVISORY SERVICES COMPANY | FEDERATED INVESTMENT MANAGEMENT COMPANY,NOT FOUND
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT","February 17, 2016","February 17, 2016","February 16, 2019","Texas, United States",NOT FOUND,NOT FOUND,"Yes | Restricted Party: Subcontractor | Scope: Non-Solicitation, No-Hire","EDGE Communications Solutions, LLC | FTE Networks, Inc",NOT FOUND
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION,NOT FOUND,NOT FOUND,Until Terminated,NOT FOUND,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits | Exceptions: Indemnification","Yes | Scope: Non-Solicitation, No-Hire",Centre for Probe Development and Commercialization (CPDC | FUSION Pharmaceuticals Inc,Yes | Without Cause
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement,"January 01, 2009","January 01, 2009",NOT FOUND,Spain,NOT FOUND,Yes,NOT FOUND,"ESPACIO INFORMATION TECHNOLOGY, SA | Silicon Smelters (Pty) Ltd",NOT FOUND
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,"January 11, 2018",NOT FOUND,"May 03, 2018",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Mitchell's Web Advance, PLC",NOT FOUND
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,"March 29, 2018",NOT FOUND,"1-Year (12 months) Initial Term, Auto-Renewal","Ohio, United States",NOT FOUND,NOT FOUND,NOT FOUND,"CPM Medical Consultants, LLC | Signature Orthopaedics Pty Ltd",NOT FOUND
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT,"September 09, 1997",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Horst Entertainment Inc,NOT FOUND
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,"January 02, 2020","January 02, 2020",1-Year (12 months) Initial Term,"Florida, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Global Technologies, Ltd | Timothy Cabrera",NOT FOUND
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT","January 27, 2020",NOT FOUND,NOT FOUND,"Colorado, United States",NOT FOUND,NOT FOUND,NOT FOUND,"EWSD 1, LLC, d/b/a/ SHI FARMS | Gridiron BioNutrients, Inc",NOT FOUND
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT,"March 31, 1998","March 31, 1998",1-Year (12 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental",NOT FOUND,"Excite, Inc",NOT FOUND
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT,"December 14, 1997",NOT FOUND,NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Gulf South Medical Supply, Inc | Physician Sales & Service, Inc",NOT FOUND
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement,"February 10, 2014","February 10, 2014",5-Year (60 months) Initial Term,"Nevada, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect | Exceptions: Willful Misconduct, Gross Negligence, Indemnification | Remedy: Direct Damages Only",NOT FOUND,"Empirical Ventures, Inc | PSiTech Corporation",NOT FOUND
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,NOT FOUND,NOT FOUND,"December 28, 2034","Ohio, United States",NOT FOUND,NOT FOUND,NOT FOUND,"HOF Village Media Group, LLC | HOF Village, LLC | NATIONAL FOOTBALL MUSEUM, INC",NOT FOUND
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1),"March 20, 1998","January 01, 1998","February 28, 2000",United Kingdom,NOT FOUND,Yes | Exceptions: Willful Misconduct,Yes | Scope: Exclusivity,Blackwell Science Limited | HealthGate Data Corp | Munksgaard A/S,NOT FOUND
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT,"June 01, 2006","June 01, 2006",NOT FOUND,"Nevada, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect | Remedy: Direct Damages Only",NOT FOUND,DGT Corp | Dolphin Industries Limited,NOT FOUND
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,"July 31, 2019","July 31, 2019",1-Year (12 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits",NOT FOUND,"Inde Living Holdings, Inc | Vayyar Imaging Ltd",Yes | Notice: 3 months | Either Party | Without Cause
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,"March 18, 2003","March 03, 2003",NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,Yes | Restricted Party: Company | Scope: Exclusivity,"Igene Biotechnology, Inc | Tate & Lyle Fermentation Products Ltd | Tate & Lyle PLC",NOT FOUND
INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT,NOT FOUND,NOT FOUND,Perpetual,"Washington, United States",NOT FOUND,NOT FOUND,NOT FOUND,INKTOMI CORPORATION | MICROSOFT CORPORATION,Yes | Without Cause
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement","January 10, 2018","January 10, 2018",NOT FOUND,"Texas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Bravatek Solutions, Inc | Fazync LLC",NOT FOUND
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT,NOT FOUND,NOT FOUND,NOT FOUND,"Florida, United States",NOT FOUND,NOT FOUND,NOT FOUND,BURGER KING CORPORATION | INTERNATIONAL FAST FOOD CORPORATION | INTERNATIONAL FAST FOOD POLSKA SP ZO.0,NOT FOUND
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,"October 01, 2008","October 01, 2008",5-Year (60 months) Initial Term,Australia,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect, Lost Profits",Yes | Scope: Exclusivity,Dynamic Hearing Pty Ltd | IntriCon Corporation,Yes | Notice: 3 months
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,"October 29, 2015",NOT FOUND,NOT FOUND,Taiwan,NOT FOUND,NOT FOUND,NOT FOUND,Chang Chen- Bin Architects Office,NOT FOUND
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,"March 03, 2000","March 03, 2000",15-Month Initial Term,"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect | Exceptions: Fraud, Indemnification | Remedy: Direct Damages Only",NOT FOUND,"Impresse Corporation | VerticalNet, Inc",NOT FOUND
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,NOT FOUND,"January 04, 2011",1-Year (12 months) Initial Term,Israel,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive",NOT FOUND,FLEXTRONICS ISRAEL LTD | INVASIX LTD,Yes | Notice: 4 months | Either Party | Without Cause
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,"January 18, 2020",NOT FOUND,"January 18, 2022","Kansas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Integrity Funds Distributor, LLC | Integrity Short Term Government Fund",NOT FOUND
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT,"February 08, 2007","February 08, 2007",5-Year (60 months) Initial Term,China,NOT FOUND,NOT FOUND,NOT FOUND,"JingWei HengTong Technology | ShenZhen JingWei Communication Co., Ltd",NOT FOUND
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","July 20, 2018","July 01, 2018",Until Terminated,"Texas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Gianluca Rotino | Kiromic, Inc",NOT FOUND
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"September 07, 1999",NOT FOUND,10-Year (120 months) Initial Term,"Illinois, United States",NOT FOUND,NOT FOUND,"Yes | Restricted Party: Distributor | Scope: Non-Solicitation, No-Hire",Electric City Corp | Electric City of Illinois L.L.C,NOT FOUND
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,NOT FOUND,"August 01, 2004","July 28, 2009","Missouri, United States",Yes | Explicit indemnification / defense / hold harmless obligations,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits",Yes | Scope: Exclusivity,"American Express Incentive Services, L.L.C | Schoolpop, Inc",NOT FOUND
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,NOT FOUND,NOT FOUND,3-Year (36 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits | Exceptions: Personal Injury, Personal Injury/Death",NOT FOUND,Lucid Inc,NOT FOUND
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,"December 23, 2019","December 23, 2019","5-Year (60 months) Initial Term, Auto-Renewal","New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Indirect, Lost Profits | Exceptions: Confidentiality Breach, Indemnification",Yes | Duration: during the term | Scope: Exclusivity,"Legacy Education Alliance Holdings, Inc | T&B Seminars, Inc",NOT FOUND
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT,"June 02, 2010","June 02, 2010",Until Completion of Program/Milestones,NOT FOUND (redacted in source),NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits | Exceptions: Confidentiality Breach, Indemnification",Yes | Duration: During The Term,"Green Cross Corp | MacroGenics, Inc",NOT FOUND
